,Title,US Gross,Worldwide Gross,US DVD Sales,Production Budget,Release Date,MPAA Rating,Running Time min,Distributor,Source,Major Genre,Creative Type,Director,Rotten Tomatoes Rating,IMDB Rating,IMDB Votes
1680,Empire,17504595,18495444,,3500000,Dec 06 2002,R,,Universal,Original Screenplay,Drama,Contemporary Fiction,,21,6.5,63
1681,La marche de l'empereur,77437223,129437223,,3400000,Jun 24 2005,G,80,Warner Independent,Based on Real Life Events,Documentary,Factual,,,7.8,23674
1682,Employee of the Month,28444855,38117718,21177885,10000000,Oct 06 2006,PG-13,103,Lionsgate,Original Screenplay,Comedy,Contemporary Fiction,,20,5.4,17845
1683,The Emperor's New Groove,89296573,169296573,,100000000,Dec 15 2000,G,78,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Mark Dindal,85,7.4,23355
1684,Enchanted,127706877,340384141,87698079,85000000,Nov 21 2007,PG,108,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Fantasy,Kevin Lima,92,7.5,55697
1685,The End of the Affair,10660147,10660147,,23000000,Dec 03 1999,R,,Sony Pictures,Based on Book/Short Story,Drama,Historical Fiction,Neil Jordan,67,6.9,9969
1686,End of Days,66889043,212026975,,100000000,Nov 24 1999,R,120,Universal,Original Screenplay,Action,Fantasy,Peter Hyams,11,5.4,43513
1687,End of the Spear,11748661,11748661,,10000000,Jan 20 2006,PG-13,,M Power Releasing,Original Screenplay,Drama,Historical Fiction,,,6.7,2884
1688,Enemy at the Gates,51396781,96971293,,85000000,Mar 16 2001,R,131,Paramount Pictures,Based on Real Life Events,Drama,Historical Fiction,Jean-Jacques Annaud,53,7.4,59916
1689,Enemy of the State,111549836,250649836,,85000000,Nov 20 1998,R,127,Walt Disney Pictures,Original Screenplay,Action,Contemporary Fiction,Tony Scott,70,7.2,66700
1690,Entrapment,87707396,211700000,,66000000,Apr 30 1999,PG-13,112,20th Century Fox,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Jon Amiel,38,6.1,40764
1691,Enough,39177215,39177215,,38000000,May 24 2002,PG-13,115,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Michael Apted,21,6.5,92
1692,Envy,13548322,14566246,,20000000,Apr 30 2004,PG-13,,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Barry Levinson,7,4.6,15655
1693,Epic Movie,39739367,86858578,16839362,20000000,Jan 26 2007,PG-13,86,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,Jason Friedberg,2,2.2,48975
1694,Eragon,75030163,249488115,87700229,100000000,Dec 15 2006,PG,102,20th Century Fox,Based on Book/Short Story,Adventure,Fantasy,,16,5,43555
1695,Erin Brockovich,125548685,258400000,,50000000,Mar 17 2000,R,133,Universal,Based on Real Life Events,Drama,Dramatization,Steven Soderbergh,83,7.2,54977
1696,Elizabethtown,26850426,50719373,15854391,54000000,Oct 14 2005,PG-13,133,Paramount Pictures,Original Screenplay,Drama,Contemporary Fiction,Cameron Crowe,28,6.4,31775
1697,Eat Pray Love,78146373,81846373,,60000000,Aug 13 2010,R,143,Sony Pictures,Based on Magazine Article,Drama,Contemporary Fiction,,37,4.7,3019
1698,Eternal Sunshine of the Spotless Mind,34366518,47066518,,20000000,Mar 19 2004,R,108,Focus Features,Based on Book/Short Story,Comedy,Fantasy,Michel Gondry,93,8.5,219986
1699,Eulogy,70527,70527,,10000000,Oct 15 2004,R,,Artisan,Original Screenplay,Comedy,,,32,6.6,5205
1700,Eureka,49388,76654,,2000000,May 04 2001,Not Rated,,,,Drama,,,,7.9,1391
1701,Eurotrip,17718223,20718223,,25000000,Feb 20 2004,R,,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,,46,6.5,52548
1702,Eve's Bayou,14843425,14843425,,5000000,Nov 07 1997,R,109,Trimark,Original Screenplay,Drama,Historical Fiction,Kasi Lemmons,80,7,4509
1703,Event Horizon,26673242,26673242,,60000000,Aug 15 1997,R,95,Paramount Pictures,Original Screenplay,Horror,Science Fiction,Paul Anderson,21,6.3,44671
1704,Ever After: A Cinderella Story,65705772,65705772,,26000000,Jul 31 1998,PG,122,20th Century Fox,Traditional/Legend/Fairytale,Drama,Historical Fiction,Andy Tennant,,,
1705,Evita,50047179,151947179,,55000000,Dec 25 1996,PG,134,Walt Disney Pictures,Based on Musical/Opera,Musical,Dramatization,Alan Parker,61,6.1,16769
1706,Evolution,38311134,98341932,,80000000,Jun 08 2001,PG-13,102,Dreamworks SKG,Original Screenplay,Comedy,Contemporary Fiction,Ivan Reitman,42,5.9,39590
1707,An Everlasting Piece,75078,75078,,4000000,Dec 25 2000,R,,Dreamworks SKG,,,,Barry Levinson,49,6,1097
1708,Fong juk,51957,51957,,4500000,Aug 31 2007,Not Rated,100,Magnolia Pictures,Original Screenplay,Action,Historical Fiction,,,7.3,3699
1709,Exit Wounds,51758599,79958599,,33000000,Mar 16 2001,R,100,Warner Bros.,Based on Book/Short Story,Action,Contemporary Fiction,Andrzej Bartkowiak,33,5.2,14528
1710,The Exorcism of Emily Rose,75072454,144216468,,18000000,Sep 09 2005,PG-13,114,Sony/Screen Gems,Based on Real Life Events,Thriller/Suspense,Dramatization,Scott Derrickson,45,6.8,32425
1711,Exorcist: The Beginning,41814863,43957541,,78000000,Aug 20 2004,R,114,Warner Bros.,Based on Book/Short Story,Horror,Historical Fiction,Renny Harlin,,5,15901
1712,The Express,9793406,9808102,6580715,37500000,Oct 04 2008,PG,129,Universal,Based on Book/Short Story,Drama,Dramatization,,61,7.1,4749
1713,eXistenZ,2840417,2840417,,20700000,Apr 23 1999,R,,Miramax,Original Screenplay,Thriller/Suspense,Science Fiction,David Cronenberg,71,6.8,35788
1714,Extract,10823158,10849158,,7500000,Sep 04 2009,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Mike Judge,62,6.4,12371
1715,Extreme Ops,4835968,12624471,,40000000,Nov 27 2002,PG-13,,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,Christian Duguay,6,4.1,3195
1716,Eyes Wide Shut,55691208,86257553,,65000000,Jul 16 1999,R,159,Warner Bros.,Based on Book/Short Story,Drama,Contemporary Fiction,Stanley Kubrick,78,7.2,93880
1717,The Faculty,40283321,40283321,,15000000,Dec 25 1998,R,102,Miramax,Original Screenplay,Horror,Contemporary Fiction,Robert Rodriguez,51,6.3,36139
1718,Failure to Launch,88715192,128402901,41348843,50000000,Mar 10 2006,PG-13,,Paramount Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Tom Dey,25,5.6,20324
1719,Keeping the Faith,37036404,45336404,,29000000,Apr 14 2000,PG-13,129,Walt Disney Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,68,6.5,25485
1720,Fame,22455510,77956957,4950732,18000000,Sep 25 2009,PG,,MGM,Remake,Musical,Contemporary Fiction,,25,4.5,4973
1721,The Family Stone,60062868,91762868,23961409,18000000,Dec 16 2005,PG-13,103,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,52,6.3,24434
1722,Lisa Picard is Famous,113433,113433,,1000000,Aug 22 2001,PG-13,,,,Comedy,,Griffin Dunne,,,
1723,Fantasia 2000 (Theatrical Release),9103630,9103630,,80000000,Jun 16 2000,G,,Walt Disney Pictures,Compilation,Musical,Fantasy,,,,
1724,Far From Heaven,15901849,29027914,,13500000,Nov 08 2002,PG-13,,Focus Features,Original Screenplay,Drama,Historical Fiction,Todd Haynes,89,7.5,20239
1725,Fascination,16670,83356,,5000000,Jan 28 2005,R,,MGM,Original Screenplay,Thriller/Suspense,,,,2.5,1016
1726,Father's Day,28681080,35681080,,85000000,May 09 1997,PG-13,98,Warner Bros.,Remake,Comedy,Contemporary Fiction,Ivan Reitman,,4.8,6654
1727,Facing the Giants,10178331,10178331,20091582,100000,Sep 29 2006,PG,,IDP/Goldwyn/Roadside,Original Screenplay,Drama,Contemporary Fiction,Alex Kendrick,9,6,4901
1728,Face/Off,112276146,241200000,,80000000,Jun 27 1997,R,138,Paramount Pictures,Original Screenplay,Action,Contemporary Fiction,John Woo,93,7.3,102001
1729,Final Destination 2,46896664,89626226,,26000000,Jan 31 2003,R,90,New Line,Original Screenplay,Horror,Fantasy,David R. Ellis,47,6.4,35737
1730,Final Destination 3,54098051,112798051,18646884,25000000,Feb 10 2006,R,,New Line,Original Screenplay,Horror,Fantasy,James Wong,45,5.9,32263
1731,The Final Destination,66477700,185777700,10148305,40000000,Aug 28 2009,R,,Warner Bros.,Original Screenplay,Horror,Fantasy,David R. Ellis,27,4.9,20319
1732,FearDotCom,13208023,13208023,,40000000,Aug 30 2002,R,,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,William Malone,,3.1,11438
1733,Fear and Loathing in Las Vegas,10680275,13711903,,18500000,May 22 1998,R,,Universal,Based on Book/Short Story,Comedy,Dramatization,Terry Gilliam,47,7.6,81560
1734,Feast,56131,341808,3570398,3200000,Sep 22 2006,R,,Weinstein/Dimension,Original Screenplay,Horror,Fantasy,,55,6.4,12023
1735,The Fifth Element,63570862,263900000,,95000000,May 09 1997,PG-13,105,Sony Pictures,Original Screenplay,Action,Science Fiction,Luc Besson,72,7.4,131252
1736,Femme Fatale,6592103,6592103,,35000000,Nov 06 2002,R,,Warner Bros.,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Brian De Palma,48,6.3,16693
1737,Bring it On,68353550,90453550,,10000000,Aug 25 2000,PG-13,99,Universal,Original Screenplay,Comedy,Contemporary Fiction,Peyton Reed,63,5.9,30309
1738,Fantastic Four,154696080,330579719,4702358,87500000,Jul 08 2005,PG-13,123,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Tim Story,27,5.7,71675
1739,54,16757163,16757163,,13000000,Aug 28 1998,R,92,Miramax,Original Screenplay,Drama,Dramatization,,13,5.6,15023
1740,2 Fast 2 Furious,127120058,236220058,,76000000,Jun 06 2003,PG-13,107,Universal,Based on Magazine Article,Action,Contemporary Fiction,John Singleton,36,5.1,44151
1741,The Fast and the Furious,144512310,206512310,,38000000,Jun 22 2001,PG-13,107,Universal,Based on Magazine Article,Action,Contemporary Fiction,Rob Cohen,53,6,67939
1742,Fool's Gold,70231041,109362966,20620930,72500000,Feb 08 2008,PG-13,,Warner Bros.,Original Screenplay,Adventure,Contemporary Fiction,Andy Tennant,,7.6,93
1743,Fahrenheit 9/11,119114517,222414517,,6000000,Jun 23 2004,R,122,Lionsgate,Based on Real Life Events,Documentary,Factual,Michael Moore,83,7.6,74424
1744,Capitalism: A Love Story,14363397,14678228,2987505,20000000,Sep 23 2009,R,,Overture Films,Based on Real Life Events,Documentary,Factual,Michael Moore,75,7.3,11829
1745,From Hell,31598308,31598308,,35000000,Oct 19 2001,R,123,20th Century Fox,Based on Comic/Graphic Novel,Thriller/Suspense,Historical Fiction,Albert Hughes,57,6.8,53477
1746,Fido,298110,419801,,8000000,Jun 15 2007,R,93,Lionsgate,Original Screenplay,Horror,Fantasy,,,6.9,11683
1747,Fight Club,37030102,100853753,,65000000,Oct 15 1999,R,139,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,David Fincher,81,8.8,382470
1748,Final Fantasy: The Spirits Within,32131830,85131830,,137000000,Jul 11 2001,PG-13,120,Sony Pictures,Based on Game,Adventure,Science Fiction,,,6.4,36227
1749,Finding Forrester,51768623,80013623,,43000000,Dec 19 2000,PG-13,137,Sony Pictures,Original Screenplay,Drama,Contemporary Fiction,Gus Van Sant,74,7.2,35966
1750,Freddy Got Fingered,14249005,14249005,,15000000,Apr 20 2001,R,,20th Century Fox,Original Screenplay,Comedy,Contemporary Fiction,,11,4,25033
1751,Firestorm,8123860,8123860,,19000000,Jan 09 1998,R,,20th Century Fox,Original Screenplay,Action,Contemporary Fiction,,,4.4,2118
1752,Fish Tank,374675,374675,,3000000,Jan 15 2010,,,,,,,,,7.5,5940
1753,Felicia's Journey,824295,1970268,,15000000,Nov 12 1999,PG-13,,Artisan,Based on Book/Short Story,Drama,Contemporary Fiction,Atom Egoyan,88,6.9,4790
1754,From Justin to Kelly,4922166,4922166,,12000000,Jun 20 2003,PG,,20th Century Fox,Based on TV,Musical,Contemporary Fiction,,8,1.6,17596
1755,Final Destination,53302314,112802314,,23000000,Mar 17 2000,R,98,New Line,Original Screenplay,Horror,Fantasy,James Wong,31,6.8,52618
1756,Flags of Our Fathers,33602376,61902376,45105366,53000000,Oct 20 2006,R,,Paramount Pictures,Based on Book/Short Story,Drama,Historical Fiction,Clint Eastwood,73,7.2,42788
1757,Flawless,4485485,4485485,,27000000,Nov 24 1999,R,,MGM,Original Screenplay,Drama,Contemporary Fiction,Joel Schumacher,43,6.7,8125
1758,Flammen og Citronen,148089,1635241,,9000000,Jul 31 2009,,132,IFC Films,,Thriller/Suspense,Historical Fiction,,,7.2,4182
1759,Flicka,21000147,21893591,49974754,15000000,Oct 20 2006,PG,94,20th Century Fox,Based on Book/Short Story,Drama,Contemporary Fiction,,54,5.7,2832
1760,Flight of the Phoenix,21009180,34009180,,75000000,Dec 17 2004,PG-13,,20th Century Fox,Remake,Adventure,Historical Fiction,,30,6,18568
1761,United 93,31567134,76366864,17832230,18000000,Apr 28 2006,R,,Universal,Based on Real Life Events,Drama,Dramatization,Paul Greengrass,91,7.8,46691
1762,Flubber,92993801,177993801,,80000000,Nov 26 1997,PG,93,Walt Disney Pictures,Remake,Comedy,Kids Fiction,Les Mayfield,17,4.6,18890
1763,Flushed Away,64665672,177665672,71025931,149000000,Nov 03 2006,PG,85,Paramount Pictures,Original Screenplay,Comedy,Kids Fiction,Sam Fell,72,7,21334
1764,Flyboys,13090630,14816379,23631077,60000000,Sep 22 2006,PG-13,139,MGM,Based on Real Life Events,Drama,Dramatization,Tony Bill,33,6.5,13934
1765,Fly Me To the Moon,14543943,40098231,,25000000,Aug 15 2008,G,89,Summit Entertainment,Original Screenplay,Adventure,Kids Fiction,,17,4.7,1653
1766,Find Me Guilty,1173673,1788077,,13000000,Mar 17 2006,R,,Freestyle Releasing,Based on Real Life Events,Drama,Dramatization,Sidney Lumet,60,7.1,12800
1767,The Family Man,75764085,124715863,,60000000,Dec 22 2000,PG-13,126,Universal,Original Screenplay,Comedy,Contemporary Fiction,Brett Ratner,52,6.6,34090
1768,Friends with Money,13368437,15328368,7822762,6500000,Apr 07 2006,R,,Sony Pictures Classics,Original Screenplay,Comedy,Contemporary Fiction,,71,6.1,11087
1769,Finding Nemo,339714978,867894287,,94000000,May 30 2003,G,100,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,Andrew Stanton,98,8.2,165006
1770,Finishing the Game,52850,52850,,500000,Oct 05 2007,Not Rated,,IFC First Take,Original Screenplay,Comedy,Contemporary Fiction,Justin Lin,35,,
1771,Foodfight!,0,0,,65000000,Dec 31 2009,PG,,Lionsgate,Original Screenplay,Comedy,Kids Fiction,,,,
1772,Formula 51,5204007,5204007,,27000000,Oct 18 2002,R,,Screen Media Films,Original Screenplay,Action,Contemporary Fiction,,,,
1773,The Fountain,10144010,15461638,8752844,35000000,Nov 22 2006,PG-13,96,Warner Bros.,Original Screenplay,Drama,Science Fiction,Darren Aronofsky,51,7.4,72562
1774,Fantastic Four: Rise of the Silver Surfer,131921738,288215319,62277740,120000000,Jun 15 2007,PG,92,20th Century Fox,Based on Comic/Graphic Novel,Action,Super Hero,Tim Story,36,,
1775,Farce of the Penguins,0,0,1619183,5000000,Jan 30 2007,R,,ThinkFilm,Original Screenplay,Comedy,Contemporary Fiction,,,4.1,3186
1776,Flightplan,89706988,225706988,,55000000,Sep 23 2005,PG-13,93,Walt Disney Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,38,6.2,45305
1777,Frailty,13110448,17423030,,11000000,Apr 12 2002,R,,Lionsgate,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,74,7.3,27629
1778,The Forbidden Kingdom,52075270,129075270,23318686,55000000,Apr 18 2008,PG-13,105,Lionsgate,Based on Book/Short Story,Action,Fantasy,Rob Minkoff,64,6.7,36548
1779,Freedom Writers,36605602,43090741,20532539,21000000,Jan 05 2007,PG-13,122,Paramount Pictures,Based on Book/Short Story,Drama,Dramatization,Richard LaGravenese,69,7.5,18065
1780,Next Friday,57176582,59675307,,9500000,Jan 12 2000,R,98,New Line,Original Screenplay,Comedy,Contemporary Fiction,Steve Carr,21,5.3,10176
1781,Freaky Friday,110222438,160822438,,26000000,Aug 06 2003,PG,97,Walt Disney Pictures,Remake,Comedy,Contemporary Fiction,Mark Waters,88,6.5,29137
1782,Frequency,44983704,68079671,,31000000,Apr 28 2000,PG-13,118,New Line,Original Screenplay,Drama,Science Fiction,,69,7.3,35968
1783,Serenity,25514517,38514517,,39000000,Sep 30 2005,PG-13,119,Universal,Based on TV,Action,Science Fiction,Joss Whedon,81,8,106648
1784,The Forgotton,66711892,111311892,,50000000,Sep 24 2004,PG-13,91,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Joseph Ruben,,4.9,1169
1785,Jason X,13121555,16951798,,14000000,Apr 26 2002,R,,New Line,,Horror,Contemporary Fiction,,21,4.4,17964
1786,Friday the 13th,65002019,91700771,9566980,17000000,Feb 13 2009,R,,Warner Bros.,,Horror,Fantasy,,26,5.6,26798
1787,Friday After Next,33253609,33526835,,10000000,Nov 22 2002,R,85,New Line,Original Screenplay,Comedy,Contemporary Fiction,,25,5.3,6742
1788,Frida,25885000,56298474,,12000000,Oct 25 2002,R,123,Miramax,Based on Real Life Events,Drama,Dramatization,,76,7.3,26243
1789,Friday Night Lights,61255921,61950770,,30000000,Oct 08 2004,PG-13,117,Universal,Based on Book/Short Story,Drama,Contemporary Fiction,Peter Berg,81,7.2,20868
1790,Frozen River,2503902,5281776,,1000000,Aug 01 2008,R,,Sony Pictures Classics,Original Screenplay,Drama,Contemporary Fiction,,87,7.2,10447
1791,The Princess and the Frog,104374107,263467382,68101150,105000000,Nov 25 2009,G,,Walt Disney Pictures,Based on Book/Short Story,Adventure,Kids Fiction,John Musker,84,7.4,16232
1792,Full Frontal,2512846,3438804,,2000000,Aug 02 2002,R,,Miramax,Original Screenplay,Comedy,Contemporary Fiction,Steven Soderbergh,37,4.8,6660
1793,Fireproof,33451479,33451479,31898934,500000,Sep 26 2008,PG,122,Samuel Goldwyn Films,Original Screenplay,Drama,Contemporary Fiction,Alex Kendrick,40,5.6,5498
1794,The Forsaken,6755271,6755271,,5000000,Apr 27 2001,R,,Sony Pictures,Original Screenplay,Horror,Contemporary Fiction,,8,5.1,4679
1795,Frost/Nixon,18622031,28144586,6677601,29000000,Dec 05 2008,R,122,Universal,Based on Play,Drama,Dramatization,Ron Howard,92,7.9,36366
1796,Factory Girl,1661464,1661464,,7000000,Dec 29 2006,R,90,MGM,Based on Real Life Events,Drama,Dramatization,,19,6.1,8680
1797,Fateless,196857,196857,,12000000,Jan 06 2006,R,,ThinkFilm,Based on Real Life Events,Drama,,,,6,462
1798,The Full Monty,45950122,257938649,,3500000,Aug 13 1997,R,90,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,Peter Cattaneo,95,7.2,40877
1799,Fun With Dick And Jane,110550000,202250000,29638269,140000000,Dec 21 2005,PG-13,90,Sony Pictures,Remake,Comedy,Contemporary Fiction,,29,6.3,1788
1800,Funny People,51855045,71880305,13721109,70000000,Jul 31 2009,R,,Universal,Original Screenplay,Comedy,Contemporary Fiction,Judd Apatow,67,6.8,37791
1801,Fur,223202,2281089,,16800000,Nov 10 2006,R,121,Picturehouse,Based on Book/Short Story,Drama,Dramatization,,,,
1802,Furry Vengeance,17630465,21630465,4335991,35000000,Apr 30 2010,PG,,Summit Entertainment,Original Screenplay,Comedy,Kids Fiction,Roger Kumble,8,2.6,3458
1803,Fever Pitch,42071069,50071069,,40000000,Apr 08 2005,PG-13,,20th Century Fox,Based on Book/Short Story,Comedy,Contemporary Fiction,Bobby Farrelly,,6.3,16736
1804,For Your Consideration,5549923,5549923,,12000000,Nov 17 2006,PG-13,86,Warner Independent,Original Screenplay,Comedy,Contemporary Fiction,Christopher Guest,50,6.2,7780
1805,The Game,48265581,48265581,,50000000,Sep 12 1997,R,128,Polygram,Original Screenplay,Thriller/Suspense,Contemporary Fiction,David Fincher,80,7.7,74136
1806,Gangs of New York,77730500,190400000,,97000000,Dec 20 2002,R,168,Miramax,Original Screenplay,Drama,Historical Fiction,Martin Scorsese,75,7.4,113378
1807,Garfield,75367693,200802638,,50000000,Jun 11 2004,PG,80,20th Century Fox,Based on Comic/Graphic Novel,Comedy,Contemporary Fiction,Peter Hewitt,,4.8,19870
1808,Georgia Rule,18882880,20819601,19382312,20000000,May 11 2007,R,111,Universal,Original Screenplay,Drama,Contemporary Fiction,Garry Marshall,17,5.8,10902
1809,Gattaca,12532777,12532777,,36000000,Oct 24 1997,PG-13,,Sony Pictures,Original Screenplay,Drama,Science Fiction,Andrew Niccol,82,7.8,70906
1810,"Gone, Baby, Gone",20300218,34619699,11406490,19000000,Oct 19 2007,R,114,Miramax,Based on Book/Short Story,Drama,Contemporary Fiction,Ben Affleck,,,
1811,"Goodbye, Lenin!",4063859,79316616,,6400000,Feb 27 2004,R,,Sony Pictures Classics,Original Screenplay,Comedy,Contemporary Fiction,,,3.3,198
1812,Good Boy!,37667746,45312217,,17000000,Oct 10 2003,PG,87,MGM,Based on Book/Short Story,Comedy,Kids Fiction,,45,5,1961
1813,Gods and Generals,12882934,12923936,,55000000,Feb 21 2003,PG-13,,Warner Bros.,,Drama,Historical Fiction,,8,6,7437
1814,The Good German,1308696,1308696,,32000000,Dec 15 2006,R,104,Warner Bros.,Based on Book/Short Story,Drama,Historical Fiction,Steven Soderbergh,32,6.1,13007
1815,Gods and Monsters,6451628,6451628,,3500000,Nov 06 1998,R,,Lionsgate,Based on Book/Short Story,Drama,Historical Fiction,Bill Condon,96,7.5,15946
1816,The Good Night,22441,22441,,15000000,Oct 05 2007,R,93,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,,29,6,4332
1817,The Good Thief,3517797,3517797,,30000000,Apr 02 2003,R,,Fox Searchlight,Remake,Drama,Contemporary Fiction,Neil Jordan,78,,
1818,George and the Dragon,0,0,,32000000,Dec 31 2004,PG,,,Original Screenplay,,,,,5.7,1762
1819,Gerry,254683,254683,,7000000,Feb 14 2003,R,,ThinkFilm,,Drama,,Gus Van Sant,,6.2,8583
1820,G-Force,119436770,287389685,44145849,82500000,Jul 24 2009,PG,,Walt Disney Pictures,Original Screenplay,Adventure,Kids Fiction,,22,5,9633
1821,Gridiron Gang,38432823,41480851,34066576,30000000,Sep 15 2006,PG-13,126,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Phil Joanou,41,6.8,12400
1822,The Good Girl,14018296,15976468,,8000000,Aug 07 2002,R,,Fox Searchlight,Original Screenplay,Comedy,Contemporary Fiction,,81,6.6,21460
1823,Ghost Ship,30113491,68349884,,20000000,Oct 25 2002,R,91,Warner Bros.,Original Screenplay,Horror,Contemporary Fiction,,13,5.3,25891
1824,Ghosts of Mississippi,13052741,13052741,,36000000,Dec 20 1996,PG-13,,Sony Pictures,Based on Real Life Events,Drama,Dramatization,Rob Reiner,50,6.4,5276
1825,The Glass House,17951431,22861785,,22000000,Sep 14 2001,PG-13,,Sony Pictures,Original Screenplay,Thriller/Suspense,Contemporary Fiction,,21,5.6,10629
1826,Ghost Rider,115802596,237702596,103730683,120000000,Feb 16 2007,PG-13,110,Sony Pictures,Based on Comic/Graphic Novel,Action,Super Hero,Mark Steven Johnson,26,5.2,63235
1827,Ghost Town,13252641,26612350,7574314,20000000,Sep 19 2008,PG-13,102,Paramount Pictures,Original Screenplay,Romantic Comedy,Fantasy,David Koepp,85,4.7,310
1828,The Gift,12008642,44567606,,10000000,Dec 19 2000,R,,Paramount Vantage,Original Screenplay,Thriller/Suspense,Contemporary Fiction,Sam Raimi,56,6.7,28488
1829,Gigli,6087542,7266209,,54000000,Aug 01 2003,R,,Sony Pictures,Original Screenplay,Romantic Comedy,Contemporary Fiction,Martin Brest,6,2.4,29031
1830,G.I.Jane,48169156,48169156,,50000000,Aug 22 1997,R,124,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,Ridley Scott,,5.5,23807
1831,G.I. Joe: The Rise of Cobra,150201498,302469019,69866155,175000000,Aug 07 2009,PG-13,118,Paramount Pictures,Based on Toy,Action,Contemporary Fiction,Stephen Sommers,,5.8,47052
1832,"Girl, Interrupted",28871190,28871190,,24000000,Dec 21 1999,R,127,Sony Pictures,Based on Real Life Events,Drama,Dramatization,James Mangold,53,,
1833,Gladiator,187683805,457683805,,103000000,May 05 2000,R,150,Sony Pictures,Original Screenplay,Action,Historical Fiction,Ridley Scott,77,8.3,279512
1834,Glitter,4273372,4273372,,8500000,Sep 21 2001,PG-13,,20th Century Fox,Original Screenplay,Musical,Contemporary Fiction,Vondie Curtis-Hall,7,2,13778
1835,Gloria,4167493,4967493,,30000000,Jan 22 1999,R,,Sony Pictures,Remake,Drama,Contemporary Fiction,Sidney Lumet,19,4.7,2726
1836,Good Luck Chuck,35017297,59183821,26234476,25000000,Sep 21 2007,R,96,Lionsgate,Original Screenplay,Romantic Comedy,Contemporary Fiction,,5,5.6,29013
1837,John Carpenter's Ghosts of Mars,8434601,8434601,,28000000,Aug 24 2001,R,,Screen Media Films,Original Screenplay,Action,Science Fiction,John Carpenter,,,
1838,The Green Mile,136801374,286601374,,60000000,Dec 10 1999,R,187,Warner Bros.,Based on Book/Short Story,Drama,Fantasy,Frank Darabont,77,8.4,198916
1839,The Game of Their Lives,375474,375474,,20000000,Apr 22 2005,PG,,IFC Films,Based on Book/Short Story,Drama,,,25,6,1443
1840,"Gandhi, My Father",240425,1375194,,5000000,Aug 03 2007,Not Rated,,Eros Entertainment,Based on Book/Short Story,Drama,Dramatization,,40,8.1,50881
1841,Good Night and Good Luck,31501218,54601218,20967273,7000000,Oct 07 2005,PG,,Warner Independent,Based on Real Life Events,Drama,Dramatization,George Clooney,,7.7,42797
1842,The General's Daughter,102705852,149705852,,60000000,Jun 18 1999,R,116,Paramount Pictures,Based on Book/Short Story,Drama,Contemporary Fiction,Simon West,22,6.1,23570
1843,Gun Shy,1638202,1638202,,10000000,Feb 04 2000,R,,Walt Disney Pictures,Original Screenplay,Comedy,Contemporary Fiction,,24,5.4,3607
1844,Go!,16875273,28383441,,6500000,Apr 09 1999,R,103,Sony Pictures,Original Screenplay,Black Comedy,Contemporary Fiction,Doug Liman,92,,
1845,Goal!,4283255,27610873,12616824,33000000,May 12 2006,PG,121,Walt Disney Pictures,Original Screenplay,Drama,Contemporary Fiction,,,6.9,16809
1846,Godzilla 2000,10037390,10037390,,1000000,Aug 18 2000,PG,,Sony Pictures,Remake,Action,Science Fiction,,,,
1847,Godsend,14334645,16910708,,30000000,Apr 30 2004,PG-13,,Lionsgate,Original Screenplay,Thriller/Suspense,Science Fiction,,4,4.7,13866
1848,Godzilla,136314294,376000000,,125000000,May 19 1998,PG-13,139,Sony Pictures,Remake,Action,Science Fiction,Roland Emmerich,25,4.8,59455
1849,Smiling Fish and Goat on Fire,277233,277233,,40000,Aug 25 2000,R,,,,,,,,,
1850,Gone in 60 Seconds,101643008,232643008,,103300000,Jun 09 2000,PG-13,118,,,,,,,6.4,2940
1851,Good,27276,27276,,16000000,Dec 31 2008,R,,ThinkFilm,Based on Play,Drama,Historical Fiction,,34,6.2,1926
1852,Good Will Hunting,138433435,225933435,,10000000,Feb 20 1987,R,126,Miramax,Original Screenplay,Drama,Contemporary Fiction,Gus Van Sant,97,8.1,150415
1853,Gosford Park,41300105,41300105,,18000000,Dec 26 2001,R,137,USA Films,Original Screenplay,Comedy,Historical Fiction,Robert Altman,86,7.3,36648
